system:index,date,snowfall_sum,temperature_2m,total_precipitation_sum,.geo
19501001,1950-10-01,0.0012468162583608258,270.0853511043149,0.0015818675519771244,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501002,1950-10-02,8.733742876039359E-4,271.67891884775605,0.0010909099726794955,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501003,1950-10-03,0.0017533444306518306,269.78561478237015,0.003173916282167784,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501004,1950-10-04,0.013381388071537307,270.4882620310006,0.014900845906240384,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501005,1950-10-05,0.00639038834701267,273.7568748878778,0.009697274071356416,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501006,1950-10-06,0.002556540511828707,271.5356972379836,0.002903044036993651,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501007,1950-10-07,0.0013397795107144843,268.7571703266431,0.0014523607589545398,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501008,1950-10-08,0.0017865083620608986,268.454222042456,0.001906509509328268,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501009,1950-10-09,0.001922483086357028,266.5527681990088,0.0019691398356239853,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501010,1950-10-10,0.005006668931780872,270.58532626225025,0.005368460343151246,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501011,1950-10-11,5.038176477557967E-4,268.9541364521455,5.942692352558086E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501012,1950-10-12,0.006154668376940346,272.0744547226274,0.010996216416635412,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501013,1950-10-13,9.076640964928205E-4,274.79630983041307,0.00706955256500323,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501014,1950-10-14,0.00245859356370355,273.6156345919663,0.004683000013111836,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501015,1950-10-15,9.053870847277732E-4,271.1639817617446,0.001348418005791012,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501016,1950-10-16,0.0028775359695612348,273.01087805530426,0.005149796718448223,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501017,1950-10-17,0.001813342400856265,272.29989346803666,0.0026665768818637642,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501018,1950-10-18,8.365712830931659E-4,271.16335123095286,0.0011511003432484789,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501019,1950-10-19,0.0015422445930935234,270.1735649188583,0.001804842520815661,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501020,1950-10-20,1.7446998372716167E-4,269.5327227839662,4.613961915190999E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501021,1950-10-21,0.002319364857080732,273.589093115632,0.010466588056761265,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501022,1950-10-22,3.415241497058498E-4,275.43776901354175,0.00649796793184951,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501023,1950-10-23,3.4686989910536045E-4,276.4918333848762,0.008387372755421518,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501024,1950-10-24,0.0020576796573132964,276.67190482986274,0.017505406971841605,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501025,1950-10-25,9.213236966115764E-4,274.05913724383794,0.0032059941938768583,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501026,1950-10-26,0.0036129274100872655,274.9399543810533,0.013811212799783376,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501027,1950-10-27,0.0017798093410816647,276.79633868821986,0.008655517687688893,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501028,1950-10-28,4.108683708897015E-4,274.23187979798297,0.0010897202719234917,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501029,1950-10-29,0.004257661384992449,275.9514831543484,0.013264186621864186,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501030,1950-10-30,0.005425850076324488,276.0409319001331,0.01565309140385655,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501031,1950-10-31,0.0015307809318480972,274.92958840579604,0.004680093153877457,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501101,1950-11-01,0.0018005845235985298,274.3714225883189,0.005263201514494988,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501102,1950-11-02,9.280805160798768E-4,273.2696513543468,0.0024925661194730307,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501103,1950-11-03,4.697294308500062E-6,271.4620287970142,4.904228113705648E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501104,1950-11-04,6.060428492607398E-5,272.6891351942265,3.395065115897706E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501105,1950-11-05,3.31532997951014E-4,275.1862796398325,0.0031092861271053538,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501106,1950-11-06,0.0023891859500696434,276.301749243185,0.011750312018668146,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501107,1950-11-07,0.013096540783683733,274.51574281547767,0.023875504735644964,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501108,1950-11-08,0.002330947702007163,271.61164553131044,0.003458536779860091,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501109,1950-11-09,0.0034659288076437584,271.04022386964533,0.004744239468435131,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501110,1950-11-10,0.0010900122632852122,269.6042146514347,0.0015216954338661437,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501111,1950-11-11,0.001752273667282871,269.980856411218,0.001951775020531084,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501112,1950-11-12,8.519234303708892E-4,266.0310225398698,8.649955323515812E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19501113,1950-11-13,0.0012318250733351255,265.59994618644265,0.001242552872888075,"{""type"":""MultiPoint"",""coordinates"":[]}"
